n,L,iteration,method,lambda,rank,sp.corr,sp.pval,evar_tr,evar_va,evar,mse
10500,30,4,CSI,0,3,0.58164105798009513,0.0,0.43970714906857211,0.39427475460396771,0.37022678974059881,0.32579604169841458
10500,30,4,CSI,1.0000000000000001e-05,3,0.58164105798009513,0.0,0.43970714906857017,0.39427474904398285,0.37022678477880094,0.32579604426526576
10500,30,4,CSI,0.0001,3,0.58163957822388046,0.0,0.43970714906838315,0.39427469900408058,0.37022674012257206,0.32579606736695121
10500,30,4,CSI,0.001,3,0.58164002885160015,0.0,0.4397071490496739,0.39427419860119439,0.37022629355553616,0.32579629838626145
10500,30,4,CSI,0.01,3,0.58163467032736815,0.0,0.43970714717921094,0.39426919418623357,0.37022182741078341,0.32579860882477868
10500,30,4,CSI,0.10000000000000001,3,0.58160482646502165,0.0,0.43970696059113817,0.39421911161944068,0.37017711873658371,0.32582173764138528
10500,30,4,CSI,1.0,3,0.58113958852870873,0.0,0.4396887509149186,0.39371463265739015,0.36972551727319453,0.32605536137577185
10500,30,4,CSI,10.0,3,0.57656877206284141,0.0,0.4382400612889219,0.38845570888905856,0.36492551629786951,0.32853851132949136
10500,30,4,Nystrom,0,3,0.064751638450869745,4.5989701362125837e-06,0.0085456261767619113,0.0062329408288759212,0.0046623035322685916,0.51491088598201318
10500,30,4,Nystrom,1.0000000000000001e-05,3,0.28365142012230676,3.6639651068787898e-93,0.11305714932168574,0.08646288885963764,0.087969372626609893,0.47181423957932894
10500,30,4,Nystrom,0.0001,3,0.32153471025922747,1.2807291619051187e-120,0.13054369677218439,0.1173672804164896,0.098786878420780377,0.46621809717222534
10500,30,4,Nystrom,0.001,3,0.31137598686631629,7.5196057354106953e-113,0.11800832890059511,0.088048547141612213,0.10101293578074698,0.46506650694155799
10500,30,4,Nystrom,0.01,3,0.36132231930004316,4.5874083649814982e-154,0.16800311742915067,0.13495652710140971,0.12891895798471031,0.45063008534487797
10500,30,4,Nystrom,0.10000000000000001,3,0.11949037268284692,2.3004359165349801e-17,0.018415027811381966,0.037896469451605935,0.016353784780858222,0.50886261614403006
10500,30,4,Nystrom,1.0,3,0.21725214977055604,1.7414137849949169e-54,0.063647639645526985,0.076246139673244742,0.053152602879509812,0.48982574845830795
10500,30,4,Nystrom,10.0,3,0.45513966082381135,2.9480818718707352e-254,0.25723382270939293,0.21836029220181877,0.21782271329376374,0.40463814554819522
10500,30,4,ICD,0,3,0.29739949018518469,1.1856758897181011e-102,0.10888660022155626,0.10150406160724734,0.092546468538267049,0.46944640349770572
