kernel,d,n,p,method,lambda,rank,limit,time
exponential_kernel,100,316227,1,RFF,0.1,30,3600,5.092084884643555
exponential_kernel,100,316227,1,ICD,0.1,30,3600,25.22381591796875
exponential_kernel,100,1000000,1,Mklaren,0.1,30,3600,533.056843996048
exponential_kernel,100,1000000,1,CSI,0.1,30,3600,inf
exponential_kernel,100,1000000,1,alignfc,0.1,30,3600,inf
exponential_kernel,100,1000000,1,FITC,0.1,30,3600,505.174546957016
exponential_kernel,100,1000000,1,align,0.1,30,3600,inf
exponential_kernel,100,1000000,1,Nystrom,0.1,30,3600,61.13680410385132
exponential_kernel,100,1000000,1,l2krr,0.1,30,3600,inf
exponential_kernel,100,1000000,1,alignf,0.1,30,3600,inf
exponential_kernel,100,1000000,1,uniform,0.1,30,3600,inf
exponential_kernel,100,1000000,1,RFF,0.1,30,3600,11.199990034103394
exponential_kernel,100,1000000,1,ICD,0.1,30,3600,76.7043068408966
exponential_kernel,100,100,3,Mklaren,0.1,5,3600,0.08161115646362305
exponential_kernel,100,100,3,CSI,0.1,5,3600,0.3710939884185791
exponential_kernel,100,100,3,alignfc,0.1,5,3600,1.0897119045257568
exponential_kernel,100,100,3,FITC,0.1,5,3600,1.39137601852417
exponential_kernel,100,100,3,align,0.1,5,3600,0.1018819808959961
exponential_kernel,100,100,3,l2krr,0.1,5,3600,0.11230897903442383
exponential_kernel,100,100,3,alignf,0.1,5,3600,0.16724514961242676
exponential_kernel,100,100,3,uniform,0.1,5,3600,0.11191511154174805
exponential_kernel,100,100,3,RFF,0.1,5,3600,0.0052411556243896484
exponential_kernel,100,100,3,ICD,0.1,5,3600,0.026543855667114258
exponential_kernel,100,316,3,Mklaren,0.1,5,3600,0.150468111038208
exponential_kernel,100,316,3,CSI,0.1,5,3600,0.3799269199371338
exponential_kernel,100,316,3,alignfc,0.1,5,3600,0.9147920608520508
exponential_kernel,100,316,3,FITC,0.1,5,3600,1.3462419509887695
exponential_kernel,100,316,3,align,0.1,5,3600,0.4124898910522461
exponential_kernel,100,316,3,Nystrom,0.1,5,3600,0.06201887130737305
exponential_kernel,100,316,3,l2krr,0.1,5,3600,0.6318721771240234
exponential_kernel,100,316,3,alignf,0.1,5,3600,0.7521121501922607
exponential_kernel,100,316,3,uniform,0.1,5,3600,0.41146087646484375
exponential_kernel,100,316,3,RFF,0.1,5,3600,0.008100032806396484
exponential_kernel,100,316,3,ICD,0.1,5,3600,0.06022310256958008
exponential_kernel,100,1000,3,Mklaren,0.1,5,3600,0.3756580352783203
exponential_kernel,100,1000,3,CSI,0.1,5,3600,0.8373780250549316
exponential_kernel,100,1000,3,alignfc,0.1,5,3600,10.845838785171509
exponential_kernel,100,1000,3,FITC,0.1,5,3600,1.6453580856323242
exponential_kernel,100,1000,3,align,0.1,5,3600,4.878690004348755
exponential_kernel,100,1000,3,Nystrom,0.1,5,3600,0.1305861473083496
exponential_kernel,100,1000,3,l2krr,0.1,5,3600,6.080265045166016
exponential_kernel,100,1000,3,alignf,0.1,5,3600,10.128931045532227
exponential_kernel,100,1000,3,ICD,0.1,5,3600,0.13925600051879883
exponential_kernel,100,1000,3,RFF,0.1,5,3600,0.015035867691040039
exponential_kernel,100,1000,3,uniform,0.1,5,3600,3.76204514503479
exponential_kernel,100,3162,3,Mklaren,0.1,5,3600,1.1052289009094238
exponential_kernel,100,3162,3,CSI,0.1,5,3600,4.6317808628082275
exponential_kernel,100,3162,3,alignfc,0.1,5,3600,237.44588613510132
exponential_kernel,100,3162,3,FITC,0.1,5,3600,2.367093086242676
exponential_kernel,100,3162,3,align,0.1,5,3600,70.74073696136475
exponential_kernel,100,3162,3,Nystrom,0.1,5,3600,0.4012930393218994
exponential_kernel,100,3162,3,l2krr,0.1,5,3600,116.46563792228699
exponential_kernel,100,3162,3,alignf,0.1,5,3600,238.84631514549255
exponential_kernel,100,3162,3,ICD,0.1,5,3600,0.3666529655456543
exponential_kernel,100,3162,3,RFF,0.1,5,3600,0.041869163513183594
exponential_kernel,100,3162,3,uniform,0.1,5,3600,38.31720209121704
exponential_kernel,100,10000,3,Mklaren,0.1,5,3600,2.9256608486175537
exponential_kernel,100,10000,3,CSI,0.1,5,3600,34.56798505783081
exponential_kernel,100,10000,3,alignfc,0.1,5,3600,inf
exponential_kernel,100,10000,3,FITC,0.1,5,3600,5.530833959579468
exponential_kernel,100,10000,3,align,0.1,5,3600,1597.3131430149078
exponential_kernel,100,10000,3,Nystrom,0.1,5,3600,0.9375200271606445
exponential_kernel,100,10000,3,l2krr,0.1,5,3600,inf
exponential_kernel,100,10000,3,alignf,0.1,5,3600,inf
exponential_kernel,100,10000,3,ICD,0.1,5,3600,1.0737321376800537
exponential_kernel,100,10000,3,RFF,0.1,5,3600,0.09865784645080566
exponential_kernel,100,10000,3,uniform,0.1,5,3600,543.8440339565277
exponential_kernel,100,31622,3,Mklaren,0.1,5,3600,8.644628047943115
exponential_kernel,100,31622,3,alignfc,0.1,5,3600,inf
exponential_kernel,100,31622,3,FITC,0.1,5,3600,12.028331995010376
exponential_kernel,100,31622,3,align,0.1,5,3600,inf
exponential_kernel,100,31622,3,Nystrom,0.1,5,3600,3.133881092071533
exponential_kernel,100,31622,3,l2krr,0.1,5,3600,inf
exponential_kernel,100,31622,3,alignf,0.1,5,3600,inf
exponential_kernel,100,31622,3,uniform,0.1,5,3600,inf
exponential_kernel,100,31622,3,RFF,0.1,5,3600,0.23720908164978027
exponential_kernel,100,31622,3,ICD,0.1,5,3600,2.8385839462280273
exponential_kernel,100,100000,3,Mklaren,0.1,5,3600,27.979269981384277
exponential_kernel,100,100000,3,CSI,0.1,5,3600,inf
exponential_kernel,100,100000,3,alignfc,0.1,5,3600,inf
exponential_kernel,100,100000,3,FITC,0.1,5,3600,42.857205867767334
exponential_kernel,100,100000,3,align,0.1,5,3600,inf
exponential_kernel,100,100000,3,Nystrom,0.1,5,3600,9.503697156906128
exponential_kernel,100,100000,3,l2krr,0.1,5,3600,inf
exponential_kernel,100,100000,3,alignf,0.1,5,3600,inf
exponential_kernel,100,100000,3,uniform,0.1,5,3600,inf
exponential_kernel,100,100000,3,RFF,0.1,5,3600,0.6723859310150146
exponential_kernel,100,100000,3,ICD,0.1,5,3600,9.345974922180176
exponential_kernel,100,316227,3,Mklaren,0.1,5,3600,88.34812593460083
exponential_kernel,100,316227,3,CSI,0.1,5,3600,inf
exponential_kernel,100,316227,3,alignfc,0.1,5,3600,inf
exponential_kernel,100,316227,3,FITC,0.1,5,3600,136.91098403930664
exponential_kernel,100,316227,3,align,0.1,5,3600,inf
exponential_kernel,100,316227,3,Nystrom,0.1,5,3600,30.595216989517212
exponential_kernel,100,316227,3,l2krr,0.1,5,3600,inf
exponential_kernel,100,316227,3,alignf,0.1,5,3600,inf
exponential_kernel,100,316227,3,uniform,0.1,5,3600,inf
exponential_kernel,100,316227,3,RFF,0.1,5,3600,2.2375969886779785
exponential_kernel,100,316227,3,ICD,0.1,5,3600,28.491920948028564
exponential_kernel,100,1000000,3,Mklaren,0.1,5,3600,286.22374510765076
exponential_kernel,100,1000000,3,CSI,0.1,5,3600,inf
exponential_kernel,100,1000000,3,alignfc,0.1,5,3600,inf
exponential_kernel,100,1000000,3,FITC,0.1,5,3600,482.4079360961914
exponential_kernel,100,1000000,3,align,0.1,5,3600,inf
exponential_kernel,100,1000000,3,Nystrom,0.1,5,3600,100.28173589706421
exponential_kernel,100,1000000,3,l2krr,0.1,5,3600,inf
exponential_kernel,100,1000000,3,alignf,0.1,5,3600,inf
exponential_kernel,100,1000000,3,uniform,0.1,5,3600,inf
exponential_kernel,100,1000000,3,RFF,0.1,5,3600,6.4905102252960205
exponential_kernel,100,1000000,3,ICD,0.1,5,3600,86.57297801971436
exponential_kernel,100,100,3,Mklaren,0.1,10,3600,0.10640287399291992
exponential_kernel,100,100,3,CSI,0.1,10,3600,0.3754110336303711
exponential_kernel,100,100,3,alignfc,0.1,10,3600,0.27585387229919434
exponential_kernel,100,100,3,FITC,0.1,10,3600,0.8545501232147217
exponential_kernel,100,100,3,align,0.1,10,3600,0.07743406295776367
